School_ID,School_Name,Spot1_Name,Spot1_Contentful_Id,Matching_Type,Distance_in_KM,Spot2_Name,Spot2_Contentful_Id,Matching_Type,Distance_in_KM,Spot3_Name,Spot3_Contentful_Id,Matching_Type,Distance_in_KM
1kNjTTDfKgcUkAiIiicqWw,KiyaKite Surfing,"Puerto Colombia, Colombia",1NdBlSfKv5ettkXAT5h8to,Distance less than 100km,0.967829188,"Playa Salgar, Colombia",2WD2KBtKHQvfrD6SLoZLHl,Distance less than 100km,4.018189165,"Punta Roca, Colombia",71gN1WeVvVvXdKHrOmRjXN,Distance less than 100km,7.293697735
6Njcnhnk2WWQYwUg20IkQq,The Board Loft,"Tybee Island / 2nd Street, Georgia (USA)",2pufCxWFoQKBxh3Wyyjtbf,Distance less than 100km,0.356814698,"Tybee Island / North Jetty (Lighthouse), Georgia (USA)",4LQxhsPJd70A114MNNn44r,Distance less than 100km,1.376693259,"Tybee Island / Polk Street (Back of the Island), Georgia (USA)",4IBBOoOJBVaTGJ2hAo8Ve1,Distance less than 100km,1.685070135
7GIcJ2QN8sq2w6MQkIUW0q,Koklites,"Koklites, Latvia",4TMTt3UEGIzySp6isV044L,Distance less than 100km,0.043060545,"Lilaste, Latvia",6dmXXgf7xJu0wNfrAIhxSS,Distance less than 100km,12.64851728,"Garciems, Latvia",6V0Z3j8kALbILoXNYbbdjZ,Distance less than 100km,23.97729085
5kttV3vBhSck6weueU4Qck,kite club santa veronica,"Santa Veronica, Colombia",nDNrIBHMMeR0tnBCQFVDB,Distance less than 100km,3.224637088,"Salinas Galerazamba, Colombia",5iVg42Eqj5pB0ixI8KhWrf,Distance less than 100km,13.97788605,"Puerto Velero, Colombia",50JfKmEv73H5W9Le9r4o5g,Distance less than 100km,14.61858872
4H62L90CC40ssk4goWomCW,Kite Montreal,"Lac Saint-Louis / Chateauguay, Canada",UflN5ohR0UStMf7AQp5Ev,Distance less than 100km,11.61915173,"Lac Saint-Louis / Baie de Valois, Canada",3owF2ZBHWRvr52dCPPPj9N,Distance less than 100km,11.83674473,"Lac Saint-Louis / Pointe-Claire, Canada",47OQVo7rObqi61NLkJrayb,Distance less than 100km,15.46603847
44PIW6syMEwQmGUoy0qaqo,Kite Pour Tous Bretagne,"Lagune du Letty, France",6UyDcNL4JxGNi5t6NB5q41,Distance less than 100km,11.00893192,"Pointe Saint-Gilles East, France",3XhQUVdh6No2gvIc9Qkg3X,Distance less than 100km,11.52272512,"Pointe Saint-Gilles, France",30E3vyxCoHbfDX3MAkf9st,Distance less than 100km,11.89176548
dzv6bO4IDJ3FZmRuY2GYm,Ocean Watersports,"Kuredu Island, Maldives",2EOmF0U8c8TiKaY0UMILi8,Distance less than 100km,1.614093944,,,,,,,,
2c6i4THJ92SQQSaEIQueMO,Abysse Kite,"La Palmyre, France",4OI9MRGBK4AMffDIlTMdvJ,Distance less than 100km,0.486653848,"Phare de la Coubre, France",5SXCgA7VcPGMBUKfjHl7fk,Distance less than 100km,4.337343395,"La Grande Cote, France",7dZJ4O1gZIsu78Fylz0OJF,Distance less than 100km,4.895349236
1IKHax1Qy4Mc2w4ymyogus,Awa international,"Quilmes, Argentina",40yXOEuvNoFacHT5sYC1lF,Distance less than 100km,7.511874809,"Puerto Velas, Argentina",51tRccE5CBPsKFHAkoqcAI,Distance less than 100km,31.07449754,"Buenos Aires Kitebeach, Argentina",4uZo5ZEtZAVyC8vDS8fTXB,Distance less than 100km,31.6230141
1JfgOG2f6w2KwEYWY06SqI,Air Pirates Kiteboarding,"Shipwreck, Oregon (USA)",2xRPl5gBZn88JwTEabBlzS,Distance less than 100km,11.48773301,"Fort Stevens Riverside, Oregon (USA)",iQy4IUOki8J94rBTY0PZ0,Distance less than 100km,12.77410714,"Sunset Beach, Oregon (USA)",GYun1NOBS1ezgN0TyVZFd,Distance less than 100km,13.08550394
