ID,NAME,SLUG,LAT,LON
5kOJndaIGksKi068mYAWMM,KiteboardingAsia Hua Hin,kiteboardingasia-hua-hin,12.553282199999998,99.9640348
3trUEEGR3r6XzrfUWBaaLL,Evolution Kiteboarding - Maui,evolution-kiteboarding-maui,20.8970292,-156.4482951
72XmEr8U10zcOb7bOMPzmz,Evolution Kiteboarding - Mexico,evolution-kiteboarding-mexico,24.0434327,-109.99161730000003
4ofjyFr1NSsyWUiEowcYgC,Skyhigh Kitesurfing,skyhighkitesurfing,-28.166667,153.533333
4dhODLhE2kG08Ue6EqAMwq,Maracajaú Kite Center,maracajaukitecenter,-5.423713999999999,-35.300698
7NnvgFGKfHkmYzk6Ij5XI,Planet Allsports - Egypt,planet-allsports-egypt,26.8334483,33.9463829
xyWvObjRzApve05cD7R0z,Kite Pirates Kiteschool,kite-pirates-kitesurfing,51.3340768,1.406599300000039
2HmAfoQNTyGecgskg22oeo,3Sixty Kitesurf Tarifa,3Sixty,36.0565829,-5.6558084000000015
19iP4gNBIUmaGQsoo4umi8,Kite Club Punta Cana,kiteclubpuntacana,18.5820101,-68.40547289999999
2GO845N144kwuUiwKMaMEs,Kite-n-Roll,kite-n-roll,8.1346074,79.71210040000003
4FaJ54lnK0Gooss2wQkWMa,Good Breeze Kiteboarding,goodbreezekiteboarding,28.356718100000005,-80.6096721
59p90cZCwbcsVyN7vGRpkN,Kite Republic School,kite-republic-school,-37.8586876,144.96955630000002
4Vd4JamAD6IEm0Y0gYgK8m,Tregor Kite,tregorkite,48.83599479999999,-3.3157006
7vIUTqvx1SWcWeYGiaAKk8,Babaomby Island Lodge,babaomby-island-lodge,-12.189281,49.357838
3bZWOllRWEC6S8ssKWCgyw,CBK Hayling Island,cbk-haylingisland,50.7860204,-0.9885951
41MsdIB7iEEaSIEoWaG6Ge,Kite Foil School,kitefoilschool,43.416626,6.7755740000000015
5xazZpLpokS6qaoG84wO8A,Maskite Maswind,maskite,37.6618781,-0.7290806999999999
60s469h5SUi7FmiBJNEBtv,ION Club Mauritius,ion-club-mauritius,-20.46737004440984,57.31392011796879
5xSCmbxnzyQ4qOYqMgGEmS,Southend Kitesurfing,southendkitesurfing,51.52448620000001,0.7737605999999999
6MgMhUqI3C2yY4c8mACqmO,Radicalsurfex,radicalsurfex,40.73034930000001,0.8323554999999999
5g91nmTQesIGqQYCMGSciE,Surfstore Africa,surfstore-africa,-34.107152500000005,18.4710408
NRjzdQi5wq00O8ugqkmS4,H2Okite,h2okite,44.435708,-1.155635
1ru9cmSONMmni2dfr7pEGU,Son of Kite,son-of-kite,-20.4266478,57.36047810000002
1EV2Lm4HVG8KcgOs8oiQiS,Torre Loopa Kite Zone,torre-loopa-kitezonz,37.937264,12.4857687
6JRzYJz63CmoKUAqwSIQeG,Kitehouse Cyprus,kitehousecyprus,34.676008,33.041270000000004
2TyqDGTtdu4cMSQG2Weu2o,AlwaysWindy,alwayswindy,37.037826,28.329687
4jCYPWem92QAqaA4UsciyG,H2air Kiteschool,h2air-kiteschool,47.2261929,-2.1720646
4spU4SwvMsEeEcMYuseUyA,Kitty Hawk Kites Nags Head Croatan,kittyhawk-nags-head-croatan,35.95870470000001,-75.62524140000002
6Gds22HnEWgSGg2IEE0aqi,Dakhla Attitude,dakhla-attitude,23.894110150238966,-15.77135967602544
10RejO23gGVtnqWLSJbWBC,Caribe Kitesurf Colombia,caribe-kitesurf-colombia,10.4726565,-75.497435
5dz3SYFSZyGWGwCQcmC6EM,Ecole Kitesurf Bretagne,ecolekitesurfbretagne,48.652805,-4.191917999999999
1wnQfiJWxekUqKoMqg264A,Positivekite,positivekite,42.03749000000001,11.920246
6xJteLJ6GkeGOyiwqQ4koc,Kite Verde,kite-verde,16.5971767,-22.9019102
1w044v0klG06yg8iyIUISu,Kiteboarding Club Holland,kiteboarding-club-holland,52.94699470000001,5.4347454000000015
5aEnOpLr3YGrjQyXObxf4T,High Five Kitesurf School Cape Town,high-five-kitesurf-school-cape-town,-33.81463,18.472449900000015
5BOWMFBzNe60AEoK64m0W6,Flisvos Kitecentre,flisvos-kitecentre,37.02623800000001,25.371194699999933
5Isf6pCC1Uywgy4w62sKW6,Abu Dhabi Kitesurfing,kitesurfinguae,24.523219,54.60937999999999
109ie6e6KiW4M86cYyUCAY,Tarifa Dragon Kitesurf,tarifa-dragon,36.03516949999999,-5.623453
1tSBPyMhEkg8mIi28i2Uys,Centro Kitesurf Senigallia,kitesenigallia,43.6987397,13.2508692
5ESWDPOLbImnBUhgXLS9ZY,LearnToKitesurf.co.uk,learntokitesurf-co-uk,50.8050777,-0.43206209999993916
5zWCIGIwvuQYqYYm42gSWk,Kitexperience,kitexperience,43.5232012,4.1393594
19fbXlYBA2YAmyuMY6e2qI,Kitesurf Vietnam School,kitesurfvietnam,10.9483968,108.2055956
3Vg4otMHSUkAumoIO6s6Sc,Fuerteventura Kite School,fuerteventura-kiteschool,28.7406296,-13.8679452
5J8dVmX0K0yM8hs3gtYsJ2,Océan Vagabond Essaouira,ocean-vagabond-essaouira,31.507858,-9.76548600000001
3ZTFXcHUt7HUQLBpfdsgUH,Lancing Kitesurf School,lancing-kitesurf-school,50.8164801,-0.33731669999997393
7t4W1Wcni868m4yaOeaCAa,KGB Kiteboarding California,kgbswag,37.83870570000001,-122.3146048
6FX1PAUFW0ou8eaIwmeqI2,Vulcan Surf,vulcansurf,34.9798739,33.703635299999995
2Mb0aaF3OgsEkSGU2OOewy,Flecha Extreme,flechaextreme,37.2116741,-7.059811099999999
6FExFnAuiWOsqewIcaaqK2,Sardinia Kite School,sardiniakiteschool,40.908389,9.571104000000002
DzBSWC0o12YwGmUaueWcI,Meira Pro Center,meiraprocenter,38.508574,-9.174474
4uo0WJsp8IyOqSCGekIo0E,Kite Escola Paraiso,kiteschoolbarragrande,-2.9104518,-41.41102679999999
2k4Si13jMoWck8CAYCoGq2,Kite Village Sardegna,kitevillagesardegna,39.1311768,8.453384300000002
KSl0qJqa8Eam6AIYO2uaI,The Kite Buzz,thekitebuzz,29.4914406,32.7362591
2voLhfLoUQWgyOOW6MAEkE,NKS,nks56,47.599349,-3.114321
